Date,Open,High,Low,Close,Volume
03/14/2022,"9.37","9.37","9.37","9.37","1,400"
03/21/2022,"9.37","9.37","9.37","9.37","3,500"
03/24/2022,"9.00","9.00","9.00","9.00","700"
03/30/2022,"9.00","9.00","9.00","9.00","2,000"
04/07/2022,"9.01","9.01","9.00","9.00","1,200"
04/13/2022,"9.00","9.00","9.00","9.00","200"
04/20/2022,"9.00","9.00","9.00","9.00","1,500"
04/25/2022,"9.87","9.87","9.86","9.86","200"
04/26/2022,"9.80","9.80","9.80","9.80","100"
05/04/2022,"9.70","9.70","9.70","9.70","500"
05/10/2022,"7.53","7.54","7.53","7.54","300"
05/24/2022,"8.65","9.80","8.40","9.80","900"
05/25/2022,"9.80","9.80","9.80","9.80","200"
05/26/2022,"7.54","7.55","7.53","7.55","10,700"
05/27/2022,"9.88","9.88","8.10","8.10","39,200"
05/30/2022,"10.48","10.48","8.70","8.70","1,300"
05/31/2022,"9.98","9.98","9.00","9.00","900"
06/01/2022,"8.96","8.96","8.96","8.96","200"
06/02/2022,"8.96","8.96","8.96","8.96","1,000"
06/08/2022,"8.00","8.30","8.00","8.30","45,100"
06/09/2022,"9.88","9.88","8.99","8.99","600"
06/13/2022,"8.47","8.47","8.00","8.00","18,800"
06/14/2022,"7.77","8.50","7.77","8.30","900"
06/23/2022,"7.77","7.77","7.77","7.77","3,200"
06/24/2022,"7.78","7.78","7.78","7.78","100"
06/29/2022,"7.77","7.77","7.77","7.77","7,500"
07/01/2022,"7.52","7.52","7.52","7.52","100"
07/15/2022,"7.20","7.20","7.20","7.20","600"
07/19/2022,"9.00","9.00","9.00","9.00","100"
08/04/2022,"6.31","6.31","6.31","6.31","100"
08/05/2022,"8.00","8.49","8.00","8.49","200"
08/09/2022,"8.48","8.48","8.47","8.47","400"
08/18/2022,"6.51","6.51","6.51","6.51","1,000"
08/24/2022,"7.00","7.00","6.51","6.51","2,000"
08/26/2022,"6.32","7.50","6.32","7.50","2,000"
09/05/2022,"7.50","7.50","7.50","7.50","300"
09/06/2022,"7.50","7.50","7.50","7.50","1,700"
09/08/2022,"7.50","8.41","7.50","8.36","1,000"
09/13/2022,"6.32","6.32","6.32","6.32","300"
09/14/2022,"6.35","6.35","6.35","6.35","100"
09/19/2022,"6.98","6.98","6.98","6.98","400"
09/20/2022,"8.37","8.37","8.31","8.31","13,600"
10/07/2022,"8.25","8.25","6.98","6.98","13,400"
10/10/2022,"8.88","8.88","6.96","6.98","1,000"
10/11/2022,"8.49","8.49","8.47","8.47","900"
10/19/2022,"6.03","7.80","6.03","7.00","19,000"
10/20/2022,"7.89","7.89","7.29","7.29","200"
10/21/2022,"6.06","6.06","6.06","6.06","1,600"
10/24/2022,"6.06","6.06","6.06","6.06","300"
10/25/2022,"6.90","7.49","6.90","7.49","200"
10/26/2022,"6.09","6.09","6.09","6.09","1,000"
11/02/2022,"7.44","7.44","7.44","7.44","100"
11/03/2022,"7.44","7.44","7.44","7.44","300"
11/07/2022,"7.44","7.44","7.44","7.44","500"
11/09/2022,"6.09","6.09","6.09","6.09","100"
11/10/2022,"7.42","7.42","7.00","7.00","400"
11/11/2022,"7.44","7.44","7.44","7.44","100"
11/14/2022,"6.80","6.85","6.80","6.80","3,200"
11/15/2022,"6.75","6.75","6.75","6.75","3,000"
11/16/2022,"6.09","6.60","6.02","6.60","3,200"
11/17/2022,"7.43","7.43","6.40","6.40","200"
11/21/2022,"6.40","6.40","6.40","6.40","400"
11/22/2022,"7.42","7.42","7.42","7.42","100"
11/24/2022,"7.38","7.38","7.38","7.38","200"
11/25/2022,"5.91","6.35","5.91","6.35","4,700"
11/28/2022,"6.35","6.35","6.30","6.30","1,600"
11/29/2022,"6.79","6.79","6.79","6.79","200"
12/01/2022,"5.92","5.92","5.92","5.92","300"
12/02/2022,"5.93","7.30","5.93","7.30","1,600"
12/05/2022,"7.00","7.00","7.00","7.00","1,400"
12/19/2022,"6.99","6.99","6.99","6.99","1,000"
12/28/2022,"5.93","5.93","5.93","5.93","100"
